com.amazon.alexa:ask-sdk-model-runtime;com.amazon.alexa;ask-sdk-model-runtime
io.janstenpickle:trace4cats-base_2.13;io.janstenpickle;trace4cats-base_2.13
io.janstenpickle:trace4cats-exporter-stream_2.13;io.janstenpickle;trace4cats-exporter-stream_2.13
io.janstenpickle:trace4cats-filtering_2.13;io.janstenpickle;trace4cats-filtering_2.13
io.janstenpickle:trace4cats-model_2.12;io.janstenpickle;trace4cats-model_2.12
io.janstenpickle:trace4cats-log-exporter_2.13;io.janstenpickle;trace4cats-log-exporter_2.13
io.janstenpickle:trace4cats-rate-sampling_2.13;io.janstenpickle;trace4cats-rate-sampling_2.13
io.janstenpickle:trace4cats-exporter-common_3;io.janstenpickle;trace4cats-exporter-common_3
io.janstenpickle:trace4cats-model_3;io.janstenpickle;trace4cats-model_3
io.janstenpickle:trace4cats-base-laws_2.13;io.janstenpickle;trace4cats-base-laws_2.13
io.janstenpickle:trace4cats-exporter-common_2.12;io.janstenpickle;trace4cats-exporter-common_2.12
io.janstenpickle:trace4cats-base-io_3;io.janstenpickle;trace4cats-base-io_3
io.janstenpickle:trace4cats-inject-io_2.12;io.janstenpickle;trace4cats-inject-io_2.12
io.janstenpickle:trace4cats-inject_2.12;io.janstenpickle;trace4cats-inject_2.12
io.janstenpickle:trace4cats-model-testkit_2.13;io.janstenpickle;trace4cats-model-testkit_2.13
io.janstenpickle:trace4cats-dynamic-sampling_2.12;io.janstenpickle;trace4cats-dynamic-sampling_2.12
io.janstenpickle:trace4cats-log-exporter_3;io.janstenpickle;trace4cats-log-exporter_3
io.janstenpickle:trace4cats-dynamic-sampling_3;io.janstenpickle;trace4cats-dynamic-sampling_3
io.janstenpickle:trace4cats-filtering_2.12;io.janstenpickle;trace4cats-filtering_2.12
io.janstenpickle:trace4cats-log-exporter_2.12;io.janstenpickle;trace4cats-log-exporter_2.12
io.janstenpickle:trace4cats-base_3;io.janstenpickle;trace4cats-base_3
io.janstenpickle:trace4cats-model_2.13;io.janstenpickle;trace4cats-model_2.13
io.janstenpickle:trace4cats-base-laws_2.12;io.janstenpickle;trace4cats-base-laws_2.12
io.janstenpickle:trace4cats-exporter-stream_3;io.janstenpickle;trace4cats-exporter-stream_3
io.janstenpickle:trace4cats-inject-io_2.13;io.janstenpickle;trace4cats-inject-io_2.13
io.janstenpickle:trace4cats-inject-io_3;io.janstenpickle;trace4cats-inject-io_3
io.janstenpickle:trace4cats-model-testkit_2.12;io.janstenpickle;trace4cats-model-testkit_2.12
io.janstenpickle:trace4cats-base-io_2.13;io.janstenpickle;trace4cats-base-io_2.13
io.janstenpickle:trace4cats-base-io_2.12;io.janstenpickle;trace4cats-base-io_2.12
io.janstenpickle:trace4cats-exporter-common_2.13;io.janstenpickle;trace4cats-exporter-common_2.13
io.janstenpickle:trace4cats-exporter-stream_2.12;io.janstenpickle;trace4cats-exporter-stream_2.12
io.janstenpickle:trace4cats-base_2.12;io.janstenpickle;trace4cats-base_2.12
io.janstenpickle:trace4cats-rate-sampling_2.12;io.janstenpickle;trace4cats-rate-sampling_2.12
io.janstenpickle:trace4cats-model-testkit_3;io.janstenpickle;trace4cats-model-testkit_3
org.webjars.npm:fake-indexeddb;org.webjars.npm;fake-indexeddb
org.webjars.npm:realistic-structured-clone;org.webjars.npm;realistic-structured-clone
org.webjars.npm:typeson;org.webjars.npm;typeson
org.webjars.npm:base32768;org.webjars.npm;base32768
org.realityforge.zemeckis:zemeckis-core;org.realityforge.zemeckis;zemeckis-core
com.github.bordertech.mrz:mrz-java;com.github.bordertech.mrz;mrz-java
com.immomo.baseutil:mmdevice;com.immomo.baseutil;mmdevice
org.realityforge.grim:grim-processor;org.realityforge.grim;grim-processor
org.realityforge.grim:grim-asserts;org.realityforge.grim;grim-asserts
org.realityforge.grim:grim-annotations;org.realityforge.grim;grim-annotations
com.gitee.tinyservices:id-sdk;com.gitee.tinyservices;id-sdk
com.gitee.tinyservices:id-core;com.gitee.tinyservices;id-core
com.gitee.tinyservices:id-common;com.gitee.tinyservices;id-common
com.gitee.tinyservices:tinyservices-id;com.gitee.tinyservices;tinyservices-id
kr.jadekim:common-util-js;kr.jadekim;common-util-js
kr.jadekim:common-hash-js;kr.jadekim;common-hash-js
com.daml:participant-state-kvutils-tools_2.13;com.daml;participant-state-kvutils-tools_2.13
com.daml:kvutils-tests-lib_2.13;com.daml;kvutils-tests-lib_2.13
com.daml:participant-state-kvutils-app_2.13;com.daml;participant-state-kvutils-app_2.13
com.daml:participant-state-kvutils_2.13;com.daml;participant-state-kvutils_2.13
com.daml:participant-state-kvutils-java-proto;com.daml;participant-state-kvutils-java-proto
com.daml:participant-state-kvutils-proto;com.daml;participant-state-kvutils-proto
kr.jadekim:common-exception-js;kr.jadekim;common-exception-js
kr.jadekim:common-encoder-js;kr.jadekim;common-encoder-js
kr.jadekim:common-crypto-js;kr.jadekim;common-crypto-js
kr.jadekim:kotlin-common-js;kr.jadekim;kotlin-common-js
org.organicdesign:Indented;org.organicdesign;Indented
com.gitee.xiezengcheng:fluent-jpa;com.gitee.xiezengcheng;fluent-jpa
com.planbase:TaintedJpa;com.planbase;TaintedJpa
com.planbase:Tainted;com.planbase;Tainted
io.github.openvega:influxdb-cxx;io.github.openvega;influxdb-cxx
com.planbase.pdf:TaintedJpa;com.planbase.pdf;TaintedJpa
com.inetsoft.connectors:spark-quickbooks-runtime;com.inetsoft.connectors;spark-quickbooks-runtime
com.inetsoft.connectors:spark-quickbooks;com.inetsoft.connectors;spark-quickbooks
com.inetsoft.connectors:spark-quickbooks-parent;com.inetsoft.connectors;spark-quickbooks-parent
com.inetsoft.connectors:spark-quickbooks-api;com.inetsoft.connectors;spark-quickbooks-api
tokyo.northside:java-oxford-dictionaries;tokyo.northside;java-oxford-dictionaries
io.github.alexarchambault.tmp.test:zip-input-stream;io.github.alexarchambault.tmp.test;zip-input-stream
io.surati.gap:admin-base;io.surati.gap;admin-base
com.planbase.pdf:Tainted;com.planbase.pdf;Tainted
com.fpliu.ndk.pkg.prefab.android.21:googletest;com.fpliu.ndk.pkg.prefab.android.21;googletest
io.github.azgraal:utilitarios;io.github.azgraal;utilitarios
com.fpliu.ndk.pkg.prefab.android.21:curl;com.fpliu.ndk.pkg.prefab.android.21;curl
com.github.tomasmikula:pascal_2.13.8;com.github.tomasmikula;pascal_2.13.8
com.github.tomasmikula:pascal_2.12.15;com.github.tomasmikula;pascal_2.12.15
com.wepay.riff:riff-networking;com.wepay.riff;riff-networking
com.wepay.riff:riff-metrics;com.wepay.riff;riff-metrics
com.wepay.riff:riff-config;com.wepay.riff;riff-config
com.fpliu.ndk.pkg.prefab.android.21:openssl;com.fpliu.ndk.pkg.prefab.android.21;openssl
com.planbase.pdf:Tainting;com.planbase.pdf;Tainting
com.fpliu.ndk.pkg.prefab.android.21:jsoncpp;com.fpliu.ndk.pkg.prefab.android.21;jsoncpp
org.jvnet.jaxb2_commons:jaxb2-basics-plugins;org.jvnet.jaxb2_commons;jaxb2-basics-plugins
com.github.venkatramanm.swf-all:swf-db-io-xls;com.github.venkatramanm.swf-all;swf-db-io-xls
org.du-lab.jsparsehc:jsparsehc;org.du-lab.jsparsehc;jsparsehc
com.github.venkatramanm.swf-all:swf-db-io-xml;com.github.venkatramanm.swf-all;swf-db-io-xml
com.github.venkatramanm.swf-all:swf-db-io-json;com.github.venkatramanm.swf-all;swf-db-io-json
com.github.venkatramanm.swf-all:swf-plugin-templates;com.github.venkatramanm.swf-all;swf-plugin-templates
com.github.venkatramanm.swf-all:swf-plugin-slideshow;com.github.venkatramanm.swf-all;swf-plugin-slideshow
com.github.venkatramanm.swf-all:swf-plugin-nats;com.github.venkatramanm.swf-all;swf-plugin-nats
com.github.venkatramanm.swf-all:swf-plugin-hivemq;com.github.venkatramanm.swf-all;swf-plugin-hivemq
com.github.venkatramanm.swf-all:swf-plugin-datamart;com.github.venkatramanm.swf-all;swf-plugin-datamart
com.github.venkatramanm.swf-all:swf-plugin-calendar;com.github.venkatramanm.swf-all;swf-plugin-calendar
com.github.venkatramanm.swf-all:swf-plugin-gst;com.github.venkatramanm.swf-all;swf-plugin-gst
org.apache.aries.transaction:org.apache.aries.transaction.blueprint;org.apache.aries.transaction;org.apache.aries.transaction.blueprint
com.github.venkatramanm.swf-all:swf-plugin-mobilesignup;com.github.venkatramanm.swf-all;swf-plugin-mobilesignup
com.github.venkatramanm.swf-all:swf-plugin-beckn;com.github.venkatramanm.swf-all;swf-plugin-beckn
com.github.venkatramanm.swf-all:swf-plugin-mail;com.github.venkatramanm.swf-all;swf-plugin-mail
com.github.venkatramanm.swf-all:swf-plugin-collab;com.github.venkatramanm.swf-all;swf-plugin-collab
com.github.venkatramanm.swf-all:swf-db;com.github.venkatramanm.swf-all;swf-db
com.fpliu.ndk.pkg.prefab.android.21:giflib;com.fpliu.ndk.pkg.prefab.android.21;giflib
cn.lioyan:sec-boot-file;cn.lioyan;sec-boot-file
cn.lioyan:mcn-spring-boot-starter;cn.lioyan;mcn-spring-boot-starter
cn.lioyan:sec-boot-starter-parent;cn.lioyan;sec-boot-starter-parent
com.walmartlabs.x12:gozer;com.walmartlabs.x12;gozer
com.fpliu.ndk.pkg.prefab.android.21:libogg;com.fpliu.ndk.pkg.prefab.android.21;libogg
io.holunda:camunda-bpm-correlate-spring-starter;io.holunda;camunda-bpm-correlate-spring-starter
com.fpliu.ndk.pkg.prefab.android.21:lame;com.fpliu.ndk.pkg.prefab.android.21;lame
com.inova8:intelligentgraph;com.inova8;intelligentgraph
com.disneystreaming.smithy4s:schematic-scalacheck_3;com.disneystreaming.smithy4s;schematic-scalacheck_3
com.disneystreaming.smithy4s:schematic-core_2.12;com.disneystreaming.smithy4s;schematic-core_2.12
com.disneystreaming.smithy4s:schematic-core_3;com.disneystreaming.smithy4s;schematic-core_3
com.disneystreaming.smithy4s:schematic-core_sjs1_2.13;com.disneystreaming.smithy4s;schematic-core_sjs1_2.13
com.disneystreaming.smithy4s:schematic-scalacheck_2.12;com.disneystreaming.smithy4s;schematic-scalacheck_2.12
com.disneystreaming.smithy4s:schematic-scalacheck_2.13;com.disneystreaming.smithy4s;schematic-scalacheck_2.13
com.disneystreaming.smithy4s:schematic-scalacheck_sjs1_3;com.disneystreaming.smithy4s;schematic-scalacheck_sjs1_3
