com.highstreet-technologies.ops4j.pax.web:pax-web-jetty;com.highstreet-technologies.ops4j.pax.web;pax-web-jetty
org.wso2.carbon.governance:org.wso2.carbon.governance.services.stub;org.wso2.carbon.governance;org.wso2.carbon.governance.services.stub
org.wso2.carbon.governance:org.wso2.carbon.governance.processes.stub;org.wso2.carbon.governance;org.wso2.carbon.governance.processes.stub
org.wso2.carbon.governance:org.wso2.carbon.governance.people.stub;org.wso2.carbon.governance;org.wso2.carbon.governance.people.stub
org.wso2.carbon.governance:org.wso2.carbon.governance.notifications.stub;org.wso2.carbon.governance;org.wso2.carbon.governance.notifications.stub
org.wso2.carbon.governance:org.wso2.carbon.governance.list.stub;org.wso2.carbon.governance;org.wso2.carbon.governance.list.stub
org.wso2.carbon.governance:org.wso2.carbon.governance.lcm.stub;org.wso2.carbon.governance;org.wso2.carbon.governance.lcm.stub
org.wso2.carbon.governance:org.wso2.carbon.governance.custom.lifecycles.checklist.stub;org.wso2.carbon.governance;org.wso2.carbon.governance.custom.lifecycles.checklist.stub
org.wso2.carbon.governance:org.wso2.carbon.governance.generic.stub;org.wso2.carbon.governance;org.wso2.carbon.governance.generic.stub
org.wso2.carbon.governance:org.wso2.carbon.governance.gadgets.stub;org.wso2.carbon.governance;org.wso2.carbon.governance.gadgets.stub
org.wso2.carbon.governance:org.wso2.carbon.governance.notifications.worklist.stub;org.wso2.carbon.governance;org.wso2.carbon.governance.notifications.worklist.stub
org.wso2.carbon.governance:carbon-service-stubs;org.wso2.carbon.governance;carbon-service-stubs
org.wso2.carbon.governance:carbon-governance;org.wso2.carbon.governance;carbon-governance
de.chkal.maven:gitlab-code-quality-plugin;de.chkal.maven;gitlab-code-quality-plugin
top.wavelength:Java-BetterReflection;top.wavelength;Java-BetterReflection
io.github.zho:kluwypay-java-sdk;io.github.zho;kluwypay-java-sdk
io.github.hoc081098:kmp-viewmodel-savedstate-android-debug;io.github.hoc081098;kmp-viewmodel-savedstate-android-debug
io.github.hoc081098:kmp-viewmodel-koject-compose-android-debug;io.github.hoc081098;kmp-viewmodel-koject-compose-android-debug
io.github.hoc081098:kmp-viewmodel-koject-android-debug;io.github.hoc081098;kmp-viewmodel-koject-android-debug
io.github.hoc081098:kmp-viewmodel-koin-compose-android-debug;io.github.hoc081098;kmp-viewmodel-koin-compose-android-debug
io.github.hoc081098:kmp-viewmodel-koin-android-debug;io.github.hoc081098;kmp-viewmodel-koin-android-debug
io.github.hoc081098:kmp-viewmodel-compose-android-debug;io.github.hoc081098;kmp-viewmodel-compose-android-debug
io.github.hoc081098:kmp-viewmodel-android-debug;io.github.hoc081098;kmp-viewmodel-android-debug
com.suchtool:nice-log-spring-boot-starter;com.suchtool;nice-log-spring-boot-starter
org.beangle.boot:beangle-boot_3;org.beangle.boot;beangle-boot_3
org.mvnpm.at.jridgewell:trace-mapping;org.mvnpm.at.jridgewell;trace-mapping
org.beangle.template:beangle-template-freemarker_3;org.beangle.template;beangle-template-freemarker_3
org.patternfly:patternfly-java;org.patternfly;patternfly-java
org.beangle.template:beangle-template-api_3;org.beangle.template;beangle-template-api_3
com.suchtool:nice-util-spring-boot-starter;com.suchtool;nice-util-spring-boot-starter
net.jlxxw:wechat-simple-schedule-spring-boot-starter;net.jlxxw;wechat-simple-schedule-spring-boot-starter
net.jlxxw:wechat-security-spring-boot-starter;net.jlxxw;wechat-security-spring-boot-starter
net.jlxxw:wechat-repository-mysql-spring-boot-starter;net.jlxxw;wechat-repository-mysql-spring-boot-starter
net.jlxxw:wechat-function-spring-boot-starter;net.jlxxw;wechat-function-spring-boot-starter
net.jlxxw:wechat-event-web-spring-boot-starter;net.jlxxw;wechat-event-web-spring-boot-starter
net.jlxxw:wechat-event-netty-spring-boot-starter;net.jlxxw;wechat-event-netty-spring-boot-starter
net.jlxxw:wechat-simple-schedule;net.jlxxw;wechat-simple-schedule
net.jlxxw:wechat-function;net.jlxxw;wechat-function
net.jlxxw:wechat-event;net.jlxxw;wechat-event
net.jlxxw:wechat-security;net.jlxxw;wechat-security
net.jlxxw:wechat-common;net.jlxxw;wechat-common
net.jlxxw:wechat-repository;net.jlxxw;wechat-repository
net.jlxxw:wechat-properties;net.jlxxw;wechat-properties
net.jlxxw:wechat-log;net.jlxxw;wechat-log
net.jlxxw:wechat-spring-boot-starter;net.jlxxw;wechat-spring-boot-starter
io.datarouter:datarouter-gcp-bigtable-hbase;io.datarouter;datarouter-gcp-bigtable-hbase
io.datarouter:datarouter-hbase;io.datarouter;datarouter-hbase
org.duracloud.snapshot:ROOT;org.duracloud.snapshot;ROOT
org.duracloud.snapshot:snapshot-service;org.duracloud.snapshot;snapshot-service
org.duracloud.snapshot:snapshot-parent;org.duracloud.snapshot;snapshot-parent
org.duracloud.snapshot:bridge;org.duracloud.snapshot;bridge
org.duracloud.snapshot:snapshot-common-db;org.duracloud.snapshot;snapshot-common-db
org.duracloud.snapshot:snapshot-service-impl;org.duracloud.snapshot;snapshot-service-impl
org.duracloud.snapshot:snapshot-common;org.duracloud.snapshot;snapshot-common
org.duracloud.snapshot:snapshot-common-test;org.duracloud.snapshot;snapshot-common-test
com.kazurayam:browserwindowlayout;com.kazurayam;browserwindowlayout
io.github.acoustic-analytics:tealeaf;io.github.acoustic-analytics;tealeaf
org.dronda.lib:dronda-commons-domain-wasm-js;org.dronda.lib;dronda-commons-domain-wasm-js
org.dronda.lib:dronda-commons-domain-mingwx64;org.dronda.lib;dronda-commons-domain-mingwx64
org.dronda.lib:dronda-commons-domain-macosx64;org.dronda.lib;dronda-commons-domain-macosx64
org.dronda.lib:dronda-commons-domain-macosarm64;org.dronda.lib;dronda-commons-domain-macosarm64
org.dronda.lib:dronda-commons-domain-linuxx64;org.dronda.lib;dronda-commons-domain-linuxx64
org.dronda.lib:dronda-commons-domain-linuxarm64;org.dronda.lib;dronda-commons-domain-linuxarm64
org.dronda.lib:dronda-commons-domain;org.dronda.lib;dronda-commons-domain
org.dronda.lib:dronda-commons-domain-jvm;org.dronda.lib;dronda-commons-domain-jvm
org.dronda.lib:dronda-commons-domain-js;org.dronda.lib;dronda-commons-domain-js
org.dronda.lib:dronda-commons-domain-iosx64;org.dronda.lib;dronda-commons-domain-iosx64
org.dronda.lib:dronda-commons-domain-iossimulatorarm64;org.dronda.lib;dronda-commons-domain-iossimulatorarm64
org.dronda.lib:dronda-commons-domain-iosarm64;org.dronda.lib;dronda-commons-domain-iosarm64
com.trendyol:kafkathena-jakarta;com.trendyol;kafkathena-jakarta
