com.ofcoder.klein:klein;com.ofcoder.klein;klein
dev.whyoleg.cryptography:cryptography-serialization-asn1-modules-tvosarm64;dev.whyoleg.cryptography;cryptography-serialization-asn1-modules-tvosarm64
dev.whyoleg.cryptography:cryptography-serialization-pem-wasm-js;dev.whyoleg.cryptography;cryptography-serialization-pem-wasm-js
dev.whyoleg.cryptography:cryptography-serialization-asn1-modules-mingwx64;dev.whyoleg.cryptography;cryptography-serialization-asn1-modules-mingwx64
dev.whyoleg.cryptography:cryptography-serialization-pem-tvosx64;dev.whyoleg.cryptography;cryptography-serialization-pem-tvosx64
dev.whyoleg.cryptography:cryptography-serialization-asn1-modules-macosx64;dev.whyoleg.cryptography;cryptography-serialization-asn1-modules-macosx64
dev.whyoleg.cryptography:cryptography-serialization-pem-tvossimulatorarm64;dev.whyoleg.cryptography;cryptography-serialization-pem-tvossimulatorarm64
dev.whyoleg.cryptography:cryptography-serialization-asn1-modules-macosarm64;dev.whyoleg.cryptography;cryptography-serialization-asn1-modules-macosarm64
dev.whyoleg.cryptography:cryptography-serialization-pem-tvosarm64;dev.whyoleg.cryptography;cryptography-serialization-pem-tvosarm64
dev.whyoleg.cryptography:cryptography-serialization-asn1-modules-linuxx64;dev.whyoleg.cryptography;cryptography-serialization-asn1-modules-linuxx64
dev.whyoleg.cryptography:cryptography-serialization-pem-mingwx64;dev.whyoleg.cryptography;cryptography-serialization-pem-mingwx64
dev.whyoleg.cryptography:cryptography-serialization-asn1-modules-linuxarm64;dev.whyoleg.cryptography;cryptography-serialization-asn1-modules-linuxarm64
dev.whyoleg.cryptography:cryptography-serialization-pem-macosx64;dev.whyoleg.cryptography;cryptography-serialization-pem-macosx64
dev.whyoleg.cryptography:cryptography-serialization-asn1-modules;dev.whyoleg.cryptography;cryptography-serialization-asn1-modules
dev.whyoleg.cryptography:cryptography-serialization-pem-macosarm64;dev.whyoleg.cryptography;cryptography-serialization-pem-macosarm64
dev.whyoleg.cryptography:cryptography-serialization-asn1-modules-jvm;dev.whyoleg.cryptography;cryptography-serialization-asn1-modules-jvm
dev.whyoleg.cryptography:cryptography-serialization-pem-linuxx64;dev.whyoleg.cryptography;cryptography-serialization-pem-linuxx64
dev.whyoleg.cryptography:cryptography-serialization-asn1-modules-js;dev.whyoleg.cryptography;cryptography-serialization-asn1-modules-js
dev.whyoleg.cryptography:cryptography-serialization-pem-linuxarm64;dev.whyoleg.cryptography;cryptography-serialization-pem-linuxarm64
dev.whyoleg.cryptography:cryptography-serialization-asn1-modules-iosx64;dev.whyoleg.cryptography;cryptography-serialization-asn1-modules-iosx64
dev.whyoleg.cryptography:cryptography-serialization-pem;dev.whyoleg.cryptography;cryptography-serialization-pem
dev.whyoleg.cryptography:cryptography-serialization-asn1-modules-iossimulatorarm64;dev.whyoleg.cryptography;cryptography-serialization-asn1-modules-iossimulatorarm64
dev.whyoleg.cryptography:cryptography-serialization-pem-jvm;dev.whyoleg.cryptography;cryptography-serialization-pem-jvm
dev.whyoleg.cryptography:cryptography-serialization-asn1-modules-iosarm64;dev.whyoleg.cryptography;cryptography-serialization-asn1-modules-iosarm64
dev.whyoleg.cryptography:cryptography-serialization-pem-js;dev.whyoleg.cryptography;cryptography-serialization-pem-js
dev.whyoleg.cryptography:cryptography-serialization-asn1-modules-androidnativex86;dev.whyoleg.cryptography;cryptography-serialization-asn1-modules-androidnativex86
dev.whyoleg.cryptography:cryptography-serialization-pem-iosx64;dev.whyoleg.cryptography;cryptography-serialization-pem-iosx64
dev.whyoleg.cryptography:cryptography-serialization-asn1-modules-androidnativex64;dev.whyoleg.cryptography;cryptography-serialization-asn1-modules-androidnativex64
dev.whyoleg.cryptography:cryptography-serialization-pem-iossimulatorarm64;dev.whyoleg.cryptography;cryptography-serialization-pem-iossimulatorarm64
dev.whyoleg.cryptography:cryptography-serialization-asn1-modules-androidnativearm64;dev.whyoleg.cryptography;cryptography-serialization-asn1-modules-androidnativearm64
dev.whyoleg.cryptography:cryptography-serialization-pem-iosarm64;dev.whyoleg.cryptography;cryptography-serialization-pem-iosarm64
dev.whyoleg.cryptography:cryptography-serialization-asn1-modules-androidnativearm32;dev.whyoleg.cryptography;cryptography-serialization-asn1-modules-androidnativearm32
dev.whyoleg.cryptography:cryptography-serialization-pem-androidnativex86;dev.whyoleg.cryptography;cryptography-serialization-pem-androidnativex86
dev.whyoleg.cryptography:cryptography-version-catalog;dev.whyoleg.cryptography;cryptography-version-catalog
