com.github.alexarchambault:case-app-util_sjs0.6_2.12;com.github.alexarchambault;case-app-util_sjs0.6_2.12
com.github.alexarchambault:case-app-refined_sjs0.6_2.12;com.github.alexarchambault;case-app-refined_sjs0.6_2.12
com.github.alexarchambault:case-app-annotations_sjs0.6_2.12;com.github.alexarchambault;case-app-annotations_sjs0.6_2.12
io.bddhub:detective.core;io.bddhub;detective.core
com.adobe.api.platform.runtime:mesos-actor;com.adobe.api.platform.runtime;mesos-actor
com.ataopro:ataopro-boot-oss-parent;com.ataopro;ataopro-boot-oss-parent
org.jboss.aerogear.unifiedpush:unifiedpush-servers;org.jboss.aerogear.unifiedpush;unifiedpush-servers
org.jboss.aerogear.unifiedpush:unifiedpush-server-configurable-container;org.jboss.aerogear.unifiedpush;unifiedpush-server-configurable-container
org.jboss.aerogear.unifiedpush:unifiedpush-jaxrs;org.jboss.aerogear.unifiedpush;unifiedpush-jaxrs
org.jboss.aerogear.unifiedpush:unifiedpush-push-sender;org.jboss.aerogear.unifiedpush;unifiedpush-push-sender
org.jboss.aerogear.unifiedpush:unifiedpush-service;org.jboss.aerogear.unifiedpush;unifiedpush-service
org.jboss.aerogear.unifiedpush:unifiedpush-migrator;org.jboss.aerogear.unifiedpush;unifiedpush-migrator
org.jboss.aerogear.unifiedpush:unifiedpush-model-jpa;org.jboss.aerogear.unifiedpush;unifiedpush-model-jpa
org.jboss.aerogear.unifiedpush:unifiedpush-push-model;org.jboss.aerogear.unifiedpush;unifiedpush-push-model
org.jboss.aerogear.unifiedpush:unifiedpush-common;org.jboss.aerogear.unifiedpush;unifiedpush-common
