org.neo4j:parent-central;org.neo4j;parent-central
org.ow2.jonas.cxf.transport.reliablejms:examples-ejb_mdb-modules-server-endpoint;org.ow2.jonas.cxf.transport.reliablejms;examples-ejb_mdb-modules-server-endpoint
org.ow2.jonas.cxf.transport.reliablejms:examples-ejb_mdb-modules-client-sender;org.ow2.jonas.cxf.transport.reliablejms;examples-ejb_mdb-modules-client-sender
org.ow2.jonas.cxf.transport.reliablejms:examples-ejb_mdb-modules-client-receiver;org.ow2.jonas.cxf.transport.reliablejms;examples-ejb_mdb-modules-client-receiver
org.ow2.jonas.cxf.transport.reliablejms:examples-ejb_mdb-modules-wsdl;org.ow2.jonas.cxf.transport.reliablejms;examples-ejb_mdb-modules-wsdl
org.ow2.jonas.cxf.transport.reliablejms:examples-ejb_mdb-modules;org.ow2.jonas.cxf.transport.reliablejms;examples-ejb_mdb-modules
org.ow2.jonas.cxf.transport.reliablejms:examples-ejb_mdb;org.ow2.jonas.cxf.transport.reliablejms;examples-ejb_mdb
org.ow2.jonas.cxf.transport.reliablejms:examples;org.ow2.jonas.cxf.transport.reliablejms;examples
org.ow2.jonas.cxf.transport.reliablejms:itests-spring_mdp-cargo;org.ow2.jonas.cxf.transport.reliablejms;itests-spring_mdp-cargo
org.ow2.jonas.cxf.transport.reliablejms:itests-spring_mdp-application;org.ow2.jonas.cxf.transport.reliablejms;itests-spring_mdp-application
org.ow2.jonas.cxf.transport.reliablejms:itests-spring_mdp;org.ow2.jonas.cxf.transport.reliablejms;itests-spring_mdp
org.ow2.jonas.cxf.transport.reliablejms:itests-ejb_mdb-cargo;org.ow2.jonas.cxf.transport.reliablejms;itests-ejb_mdb-cargo
org.ow2.jonas.cxf.transport.reliablejms:itests-ejb_mdb-ear;org.ow2.jonas.cxf.transport.reliablejms;itests-ejb_mdb-ear
org.ow2.jonas.cxf.transport.reliablejms:itests-ejb_mdb-application;org.ow2.jonas.cxf.transport.reliablejms;itests-ejb_mdb-application
org.ow2.jonas.cxf.transport.reliablejms:itests-ejb_mdb;org.ow2.jonas.cxf.transport.reliablejms;itests-ejb_mdb
org.ow2.jonas.cxf.transport.reliablejms:itests;org.ow2.jonas.cxf.transport.reliablejms;itests
org.ow2.jonas.cxf.transport.reliablejms:modules-transport;org.ow2.jonas.cxf.transport.reliablejms;modules-transport
org.ow2.jonas.cxf.transport.reliablejms:modules-api;org.ow2.jonas.cxf.transport.reliablejms;modules-api
org.ow2.jonas.cxf.transport.reliablejms:modules;org.ow2.jonas.cxf.transport.reliablejms;modules
org.ow2.jonas.cxf.transport.reliablejms:parent;org.ow2.jonas.cxf.transport.reliablejms;parent
com.bungleton:yarrgs;com.bungleton;yarrgs
org.jdesktop.bsaf:bsaf;org.jdesktop.bsaf;bsaf
eu.numberfour.maven.plugins:file-list-maven-plugin;eu.numberfour.maven.plugins;file-list-maven-plugin
org.jboss.weld.arquillian.container:arquillian-weld-ee-embedded-1.1;org.jboss.weld.arquillian.container;arquillian-weld-ee-embedded-1.1
com.googlecode.the-fascinator.maven-plugins:schemagen;com.googlecode.the-fascinator.maven-plugins;schemagen
org.mule.tools:ibean-archetype;org.mule.tools;ibean-archetype
it.tidalwave.bluebill:it-tidalwave-bluebill-mobile-taxonomy-factsheet;it.tidalwave.bluebill;it-tidalwave-bluebill-mobile-taxonomy-factsheet
it.tidalwave.bluebill:it-tidalwave-bluebill-mobile-news;it.tidalwave.bluebill;it-tidalwave-bluebill-mobile-news
it.tidalwave.bluebill:it-tidalwave-bluebill-mobile-commons;it.tidalwave.bluebill;it-tidalwave-bluebill-mobile-commons
it.tidalwave.bluebill:android-superpom;it.tidalwave.bluebill;android-superpom
it.tidalwave.bluebill:it-tidalwave-bluebill-factsheet-bbc;it.tidalwave.bluebill;it-tidalwave-bluebill-factsheet-bbc
it.tidalwave.bluebill:it-tidalwave-bluebill-mobile-observation;it.tidalwave.bluebill;it-tidalwave-bluebill-mobile-observation
it.tidalwave.bluebill:bluebill-android-modules;it.tidalwave.bluebill;bluebill-android-modules
it.tidalwave.bluebill:bluebill-mobile-android-test-integration;it.tidalwave.bluebill;bluebill-mobile-android-test-integration
it.tidalwave.bluebill:it-tidalwave-bluebill-mobile-android-taxonomy-factsheet;it.tidalwave.bluebill;it-tidalwave-bluebill-mobile-android-taxonomy-factsheet
it.tidalwave.bluebill:it-tidalwave-bluebill-mobile-taxonomy;it.tidalwave.bluebill;it-tidalwave-bluebill-mobile-taxonomy
it.tidalwave.bluebill:bluebill-mobile;it.tidalwave.bluebill;bluebill-mobile
it.tidalwave.bluebill:it-tidalwave-bluebill-mobile-android-common;it.tidalwave.bluebill;it-tidalwave-bluebill-mobile-android-common
it.tidalwave.bluebill:it-tidalwave-bluebill-mobile-android-news;it.tidalwave.bluebill;it-tidalwave-bluebill-mobile-android-news
it.tidalwave.bluebill:it-tidalwave-android-utilities;it.tidalwave.bluebill;it-tidalwave-android-utilities
it.tidalwave.bluebill:it-tidalwave-bluebill-factsheet;it.tidalwave.bluebill;it-tidalwave-bluebill-factsheet
it.tidalwave.bluebill:bluebill-mobile-android-test-functional;it.tidalwave.bluebill;bluebill-mobile-android-test-functional
it.tidalwave.bluebill:bluebill-mobile-android;it.tidalwave.bluebill;bluebill-mobile-android
it.tidalwave.bluebill:it-tidalwave-bluebill-taxonomy-mobile;it.tidalwave.bluebill;it-tidalwave-bluebill-taxonomy-mobile
it.tidalwave.bluebill:it-tidalwave-bluebill-mobile-splash;it.tidalwave.bluebill;it-tidalwave-bluebill-mobile-splash
