com.github.mideo:mongo-kit_2.11;com.github.mideo;mongo-kit_2.11
org.webjars.npm:propagate;org.webjars.npm;propagate
kr.pe.kwonnam.slf4j-lambda:slf4j-lambda-core;kr.pe.kwonnam.slf4j-lambda;slf4j-lambda-core
com.github.richardjwild:randomizer;com.github.richardjwild;randomizer
com.theoryinpractise:halbuilder5-jaxrs;com.theoryinpractise;halbuilder5-jaxrs
com.github.mwegrz:scala-app_2.11;com.github.mwegrz;scala-app_2.11
org.jresearch.flexess.umi:org.jresearch.flexess.umi.internal;org.jresearch.flexess.umi;org.jresearch.flexess.umi.internal
org.jresearch.flexess.umi:org.jresearch.flexess.umi.model;org.jresearch.flexess.umi;org.jresearch.flexess.umi.model
org.webjars.npm:prando;org.webjars.npm;prando
com.github.jstumpp:spring-whoops;com.github.jstumpp;spring-whoops
com.btmatthews.springboot:memcached-spring-boot-starter;com.btmatthews.springboot;memcached-spring-boot-starter
org.atnos:producer_2.11;org.atnos;producer_2.11
io.github.jonas:circe-config_2.12;io.github.jonas;circe-config_2.12
io.github.jonas:circe-config_2.11;io.github.jonas;circe-config_2.11
org.webjars.bower:github-com-MetaSolutionsAB-rdforms;org.webjars.bower;github-com-MetaSolutionsAB-rdforms
com.ufoscout.vertxk:vertxk-sync;com.ufoscout.vertxk;vertxk-sync
org.typelevel:dogs-tests_2.12;org.typelevel;dogs-tests_2.12
com.github.aaricchen:qxcmp-parent;com.github.aaricchen;qxcmp-parent
org.eclipse.collections:p2-repository;org.eclipse.collections;p2-repository
fr.mazerty:shika-kami;fr.mazerty;shika-kami
ru.ztrap.views:KeySensitive;ru.ztrap.views;KeySensitive
com.github.lujinfeifly:freejava;com.github.lujinfeifly;freejava
net.bhardy.bizzo:bizzo-core;net.bhardy.bizzo;bizzo-core
org.apache.knox:gateway-provider-security-picketlink;org.apache.knox;gateway-provider-security-picketlink
uk.elementarysoftware:quick-csv-streamer;uk.elementarysoftware;quick-csv-streamer
org.webjars.bower:angular-ui-router-title;org.webjars.bower;angular-ui-router-title
org.webjars.npm:angular-ui-router-title;org.webjars.npm;angular-ui-router-title
org.webjars.bower:ng-page-title;org.webjars.bower;ng-page-title
org.webjars.npm:ng-page-title;org.webjars.npm;ng-page-title
com.github.mrharibo.micronet:mn-tools-yaml-utility;com.github.mrharibo.micronet;mn-tools-yaml-utility
com.github.mrharibo.micronet:mn-archetype-database;com.github.mrharibo.micronet;mn-archetype-database
com.yanzhenjie:statusview;com.yanzhenjie;statusview
me.dm7.barcodescanner:zbar;me.dm7.barcodescanner;zbar
com.mageddo:spring-profile;com.mageddo;spring-profile
me.dm7.barcodescanner:zxing;me.dm7.barcodescanner;zxing
me.dm7.barcodescanner:core;me.dm7.barcodescanner;core
ch.epfl.lamp:dotty-doc_0.3;ch.epfl.lamp;dotty-doc_0.3
ch.epfl.lamp:dotty-compiler_0.3;ch.epfl.lamp;dotty-compiler_0.3
ch.epfl.lamp:dotty_0.3;ch.epfl.lamp;dotty_0.3
ch.epfl.lamp:dotty-language-server_0.3;ch.epfl.lamp;dotty-language-server_0.3
ch.epfl.lamp:dotty-library_0.3;ch.epfl.lamp;dotty-library_0.3
com.microsoft.msr.malmo:MalmoJavaJar;com.microsoft.msr.malmo;MalmoJavaJar
org.webjars.npm:springroll;org.webjars.npm;springroll
io.ultreia.java4all.jgitflow:jgitflow-maven-plugin;io.ultreia.java4all.jgitflow;jgitflow-maven-plugin
org.fintx:fintx-identifier;org.fintx;fintx-identifier
io.ultreia.java4all.jgitflow:jgitflow-it-support;io.ultreia.java4all.jgitflow;jgitflow-it-support
io.ultreia.java4all.jgitflow:jgitflow-maven-api;io.ultreia.java4all.jgitflow;jgitflow-maven-api
io.ultreia.java4all.jgitflow:jgitflow-core;io.ultreia.java4all.jgitflow;jgitflow-core
io.ultreia.java4all.jgitflow:jgitflow-parent;io.ultreia.java4all.jgitflow;jgitflow-parent
com.tumblr:colossus-docs_2.11;com.tumblr;colossus-docs_2.11
com.tumblr:colossus-docs_2.10;com.tumblr;colossus-docs_2.10
com.tumblr:colossus-metrics_2.10;com.tumblr;colossus-metrics_2.10
com.tumblr:colossus_2.10;com.tumblr;colossus_2.10
com.tumblr:colossus-testkit_2.10;com.tumblr;colossus-testkit_2.10
io.loefflefarn:list-file-upload-addon;io.loefflefarn;list-file-upload-addon
io.salyangoz.scrollme:scrollme;io.salyangoz.scrollme;scrollme
org.webjars.bower:api-console;org.webjars.bower;api-console
org.webjars.bower:github-com-mulesoft-api-console;org.webjars.bower;github-com-mulesoft-api-console
org.webjars.npm:github-com-mulesoft-api-console;org.webjars.npm;github-com-mulesoft-api-console
org.webjars.npm:stubby;org.webjars.npm;stubby
org.restcomm:sbc-application;org.restcomm;sbc-application
org.restcomm:restcomm-sbc;org.restcomm;restcomm-sbc
org.restcomm:sbc-docs;org.restcomm;sbc-docs
org.cdecode.firebase:org.cdecode.firebase.provider;org.cdecode.firebase;org.cdecode.firebase.provider
org.cdecode.firebase:org.cdecode.firebase.api;org.cdecode.firebase;org.cdecode.firebase.api
it.redss:ecs-eureka-auto-configuration;it.redss;ecs-eureka-auto-configuration
br.com.tdsis:lambda-forest;br.com.tdsis;lambda-forest
org.codehaus.mojo:findbugs-maven-plugin;org.codehaus.mojo;findbugs-maven-plugin
com.dell.cpsd:component-common-core;com.dell.cpsd;component-common-core
org.webjars.bower:bootstrap-languages;org.webjars.bower;bootstrap-languages
net.oschina.suyeer:cache;net.oschina.suyeer;cache
com.worldpay.api.client:worldpay-client-core;com.worldpay.api.client;worldpay-client-core
org.webjars.bower:github-com-jschr-textillate;org.webjars.bower;github-com-jschr-textillate
org.webjars.bower:github-com-angular-ui-angular-google-maps;org.webjars.bower;github-com-angular-ui-angular-google-maps
com.thetachain:theta-chain-module;com.thetachain;theta-chain-module
io.github.zhangshengshan:test;io.github.zhangshengshan;test
com.microsoft.azure:azure-ad-integration-spring-boot-autoconfigure;com.microsoft.azure;azure-ad-integration-spring-boot-autoconfigure
org.webjars.npm:github-com-component-emitter;org.webjars.npm;github-com-component-emitter
com.microsoft.azure:azure-storage-spring-boot-autoconfigure;com.microsoft.azure;azure-storage-spring-boot-autoconfigure
com.microsoft.azure:azure-servicebus-spring-boot-autoconfigure;com.microsoft.azure;azure-servicebus-spring-boot-autoconfigure
