com.github.f1xmAn:jschedule-ds;com.github.f1xmAn;jschedule-ds
com.shankyank:sortpom-config;com.shankyank;sortpom-config
com.orrsella:tumblr4s_2.10;com.orrsella;tumblr4s_2.10
com.orrsella:tumblr4s_2.11;com.orrsella;tumblr4s_2.11
com.sefford:kor-retrofit;com.sefford;kor-retrofit
se.ugli.durian:durian-core;se.ugli.durian;durian-core
no.finn.guava-metrics:guava-metrics;no.finn.guava-metrics;guava-metrics
org.codehaus.sonar-plugins.stylecop:sonar-stylecop-plugin;org.codehaus.sonar-plugins.stylecop;sonar-stylecop-plugin
org.webjars:ng-grid;org.webjars;ng-grid
org.azolla.open:org.azolla.open.ling;org.azolla.open;org.azolla.open.ling
com.sap.prd.mobile.ios.ota:com.sap.prd.mobile.ios.ota.webapp;com.sap.prd.mobile.ios.ota;com.sap.prd.mobile.ios.ota.webapp
org.codehaus.sonar-plugins.dotnet.csharp:sslr-csharp-toolkit;org.codehaus.sonar-plugins.dotnet.csharp;sslr-csharp-toolkit
com.sap.prd.mobile.ios.ota:com.sap.prd.mobile.ios.ota.library;com.sap.prd.mobile.ios.ota;com.sap.prd.mobile.ios.ota.library
org.codehaus.sonar-plugins.dotnet.csharp:csharp-checks;org.codehaus.sonar-plugins.dotnet.csharp;csharp-checks
org.codehaus.sonar-plugins.dotnet.csharp:csharp-squid;org.codehaus.sonar-plugins.dotnet.csharp;csharp-squid
org.codehaus.sonar.dotnet.tests:sonar-dotnet-tests-library;org.codehaus.sonar.dotnet.tests;sonar-dotnet-tests-library
nl.cloudfarming.eventbus:cloudfarming-eventbus;nl.cloudfarming.eventbus;cloudfarming-eventbus
eu.agrosense.client:lib-xml;eu.agrosense.client;lib-xml
com.byteground:byteground-iptc-topics_2.10;com.byteground;byteground-iptc-topics_2.10
com.byteground:byteground-iptc-sports_2.10;com.byteground;byteground-iptc-sports_2.10
com.playlyfe:sdk;com.playlyfe;sdk
com.websudos:phantom-test_2.10;com.websudos;phantom-test_2.10
com.tomreznik.generify:generify;com.tomreznik.generify;generify
org.technbolts:bidij;org.technbolts;bidij
org.kohsuke.stapler:stapler-guice-extensibility;org.kohsuke.stapler;stapler-guice-extensibility
uk.co.androidalliance:edgeeffectoverride;uk.co.androidalliance;edgeeffectoverride
co.fizzed:fizzed-maven-parent;co.fizzed;fizzed-maven-parent
co.fizzed:fizzed-versionizer-maven-plugin;co.fizzed;fizzed-versionizer-maven-plugin
co.fizzed:fizzed-maven-plugins-parent;co.fizzed;fizzed-maven-plugins-parent
org.carewebframework:org.carewebframework.ui;org.carewebframework;org.carewebframework.ui
org.carewebframework:org.carewebframework.api;org.carewebframework;org.carewebframework.api
org.webjars:es6-shim;org.webjars;es6-shim
net.glxn.qrgen:android;net.glxn.qrgen;android
net.glxn.qrgen:qrgen-parent;net.glxn.qrgen;qrgen-parent
net.glxn.qrgen:javase;net.glxn.qrgen;javase
net.glxn.qrgen:core;net.glxn.qrgen;core
eu.socialsensor:geo-util;eu.socialsensor;geo-util
eu.socialsensor:multimedia-indexing;eu.socialsensor;multimedia-indexing
eu.socialsensor:socialmedia-abstractions;eu.socialsensor;socialmedia-abstractions
io.divolte:divolte-kafka-consumer;io.divolte;divolte-kafka-consumer
org.webjars:angular-translate-handler-log;org.webjars;angular-translate-handler-log
edu.umass.cs:cmpsci220_2.11;edu.umass.cs;cmpsci220_2.11
com.mchange:c3p0-play_2.10;com.mchange;c3p0-play_2.10
eu.socialsensor:socialsensor-framework-client;eu.socialsensor;socialsensor-framework-client
com.github.ixa-ehu:naflib;com.github.ixa-ehu;naflib
com.ganshane:nirvana-support_2.10;com.ganshane;nirvana-support_2.10
com.ganshane:nirvana-support_2.11;com.ganshane;nirvana-support_2.11
io.apigee.build-tools.enterprise4g:proxy-dependency-maven-plugin;io.apigee.build-tools.enterprise4g;proxy-dependency-maven-plugin
com.pahakia.lib:pahakia-annotation-registry;com.pahakia.lib;pahakia-annotation-registry
com.pahakia.lib:pahakia-apt;com.pahakia.lib;pahakia-apt
com.pahakia.lib:pahakia-fault;com.pahakia.lib;pahakia-fault
org.siqisource:demosupport;org.siqisource;demosupport
biz.aQute.bnd:bndlib;biz.aQute.bnd;bndlib
biz.aQute.bnd:bnd;biz.aQute.bnd;bnd
biz.aQute.bnd:annotation;biz.aQute.bnd;annotation
biz.aQute.bnd:parent;biz.aQute.bnd;parent
com.netflix.rxnetty:rx-netty-servo;com.netflix.rxnetty;rx-netty-servo
com.netflix.rxnetty:rx-netty-remote-observable;com.netflix.rxnetty;rx-netty-remote-observable
com.netflix.rxnetty:rx-netty-examples;com.netflix.rxnetty;rx-netty-examples
com.netflix.rxnetty:rx-netty-contexts;com.netflix.rxnetty;rx-netty-contexts
com.netflix.rxnetty:rx-netty;com.netflix.rxnetty;rx-netty
com.github.axet:protocols;com.github.axet;protocols
io.divolte:divolte-spark_2.10;io.divolte;divolte-spark_2.10
org.apache.jmeter:ApacheJMeter_report;org.apache.jmeter;ApacheJMeter_report
ca.weblite:mirahc-jar;ca.weblite;mirahc-jar
ca.weblite:mirah-jar;ca.weblite;mirah-jar
com.tomgibara.money:money;com.tomgibara.money;money
io.fabric8.jube.images.quickstart:mule-helloworld;io.fabric8.jube.images.quickstart;mule-helloworld
io.fabric8.jube.images.quickstart:mule-quickstarts;io.fabric8.jube.images.quickstart;mule-quickstarts
io.fabric8.jube.images.quickstart:war-rest;io.fabric8.jube.images.quickstart;war-rest
io.fabric8.jube.images.quickstart:war-cxf-cdi-servlet;io.fabric8.jube.images.quickstart;war-cxf-cdi-servlet
io.fabric8.jube.images.quickstart:war-camel-servlet;io.fabric8.jube.images.quickstart;war-camel-servlet
io.fabric8.jube.images.quickstart:war-quickstarts;io.fabric8.jube.images.quickstart;war-quickstarts
io.fabric8.jube.images.quickstart:karaf-cxf-soap;io.fabric8.jube.images.quickstart;karaf-cxf-soap
io.fabric8.jube.images.quickstart:karaf-cxf-secure-soap;io.fabric8.jube.images.quickstart;karaf-cxf-secure-soap
io.fabric8.jube.images.quickstart:karaf-cxf-secure-rest;io.fabric8.jube.images.quickstart;karaf-cxf-secure-rest
io.fabric8.jube.images.quickstart:karaf-cxf-rest;io.fabric8.jube.images.quickstart;karaf-cxf-rest
io.fabric8.jube.images.quickstart:karaf-cxf-camel-cxf-contract-first;io.fabric8.jube.images.quickstart;karaf-cxf-camel-cxf-contract-first
io.fabric8.jube.images.quickstart:karaf-cxf-camel-cxf-code-first;io.fabric8.jube.images.quickstart;karaf-cxf-camel-cxf-code-first
io.fabric8.jube.images.quickstart:karaf-cxf-quickstarts;io.fabric8.jube.images.quickstart;karaf-cxf-quickstarts
io.fabric8.jube.images.quickstart:karaf-camel-amq;io.fabric8.jube.images.quickstart;karaf-camel-amq
io.fabric8.jube.images.quickstart:karaf-beginner-camel-log-wiki;io.fabric8.jube.images.quickstart;karaf-beginner-camel-log-wiki
io.fabric8.jube.images.quickstart:karaf-beginner-camel-log;io.fabric8.jube.images.quickstart;karaf-beginner-camel-log
io.fabric8.jube.images.quickstart:karaf-beginner-camel-errorhandler;io.fabric8.jube.images.quickstart;karaf-beginner-camel-errorhandler
io.fabric8.jube.images.quickstart:karaf-beginner-camel-eips;io.fabric8.jube.images.quickstart;karaf-beginner-camel-eips
io.fabric8.jube.images.quickstart:karaf-beginner-camel-cbr;io.fabric8.jube.images.quickstart;karaf-beginner-camel-cbr
io.fabric8.jube.images.quickstart:karaf-beginner-quickstarts;io.fabric8.jube.images.quickstart;karaf-beginner-quickstarts
io.fabric8.jube.images.quickstart:karaf-quickstarts;io.fabric8.jube.images.quickstart;karaf-quickstarts
io.fabric8.jube.images.quickstart:java-simple-fatjar;io.fabric8.jube.images.quickstart;java-simple-fatjar
io.fabric8.jube.images.quickstart:java-simple-mainclass;io.fabric8.jube.images.quickstart;java-simple-mainclass
io.fabric8.jube.images.quickstart:java-cxf-cdi;io.fabric8.jube.images.quickstart;java-cxf-cdi
io.fabric8.jube.images.quickstart:java-camel-spring;io.fabric8.jube.images.quickstart;java-camel-spring
io.fabric8.jube.images.quickstart:java-camel-cdi;io.fabric8.jube.images.quickstart;java-camel-cdi
io.fabric8.jube.images.quickstart:java-quickstarts;io.fabric8.jube.images.quickstart;java-quickstarts
com.github.polok.routedrawer:library;com.github.polok.routedrawer;library
org.wisdom-framework:wisdom-netty-engine;org.wisdom-framework;wisdom-netty-engine
nl.grons:sentries_2.11;nl.grons;sentries_2.11
nl.grons:sentries_2.10;nl.grons;sentries_2.10
eu.socialsensor:socialsensor-framework-common;eu.socialsensor;socialsensor-framework-common
net.maritimecloud.mms:mc-net-server-tck;net.maritimecloud.mms;mc-net-server-tck
io.loli:util;io.loli;util
org.bitbucket.yahor_makouski:custom-FFmpegAndroid;org.bitbucket.yahor_makouski;custom-FFmpegAndroid
org.bitbucket.yahor_makouski:slf4j-composite;org.bitbucket.yahor_makouski;slf4j-composite
