net.corda.cordapp.cordapp-configuration:net.corda.cordapp.cordapp-configuration.gradle.plugin;net.corda.cordapp.cordapp-configuration;net.corda.cordapp.cordapp-configuration.gradle.plugin
com.eygraber:jsonapi-kotlin-iosarm64;com.eygraber;jsonapi-kotlin-iosarm64
com.eygraber:jsonapi-kotlin-android;com.eygraber;jsonapi-kotlin-android
com.eygraber:jsonapi-kotlin-androidnativex86;com.eygraber;jsonapi-kotlin-androidnativex86
com.eygraber:jsonapi-kotlin-androidnativex64;com.eygraber;jsonapi-kotlin-androidnativex64
com.eygraber:jsonapi-kotlin-androidnativearm64;com.eygraber;jsonapi-kotlin-androidnativearm64
com.eygraber:jsonapi-kotlin-androidnativearm32;com.eygraber;jsonapi-kotlin-androidnativearm32
io.github.nillerr:test-http-server-jackson;io.github.nillerr;test-http-server-jackson
io.github.nillerr:test-http-server;io.github.nillerr;test-http-server
com.netflix.nebula:nebula-gradle-interop;com.netflix.nebula;nebula-gradle-interop
com.squareup.invert:invert-report;com.squareup.invert;invert-report
com.squareup.invert:invert-report-js;com.squareup.invert;invert-report-js
com.squareup.invert:invert-models;com.squareup.invert;invert-models
com.squareup.invert:invert-gradle-plugin;com.squareup.invert;invert-gradle-plugin
com.squareup.invert:invert-models-jvm;com.squareup.invert;invert-models-jvm
com.squareup.invert:invert-models-js;com.squareup.invert;invert-models-js
com.squareup.invert:com.squareup.invert.gradle.plugin;com.squareup.invert;com.squareup.invert.gradle.plugin
org.bidib.com.github.markusbernhardt:proxy-vole;org.bidib.com.github.markusbernhardt;proxy-vole
io.jstach.kiwi:kiwi-boot;io.jstach.kiwi;kiwi-boot
io.jstach.kiwi:kiwi-maven-parent;io.jstach.kiwi;kiwi-maven-parent
io.jstach.kiwi:kiwi-kvs;io.jstach.kiwi;kiwi-kvs
com.siliconmtn:spacelibs-java;com.siliconmtn;spacelibs-java
com.gu:editorial-permissions-client_2.13;com.gu;editorial-permissions-client_2.13
com.gu:editorial-permissions-client_2.12;com.gu;editorial-permissions-client_2.12
de.gurkenlabs:litiengine;de.gurkenlabs;litiengine
com.google.cloud.functions:functions-framework-api;com.google.cloud.functions;functions-framework-api
com.colisweb:simplecache-wrapper-cats_2.13;com.colisweb;simplecache-wrapper-cats_2.13
com.colisweb:simplecache-wrapper-error_2.13;com.colisweb;simplecache-wrapper-error_2.13
com.colisweb:simplecache-memory-guava_2.13;com.colisweb;simplecache-memory-guava_2.13
com.colisweb:simplecache-memory_2.13;com.colisweb;simplecache-memory_2.13
com.colisweb:simplecache-redis-circe_2.13;com.colisweb;simplecache-redis-circe_2.13
com.colisweb:simplecache-core_2.13;com.colisweb;simplecache-core_2.13
com.colisweb:simplecache-redis_2.13;com.colisweb;simplecache-redis_2.13
com.colisweb:simplecache-wrapper-zio_2.13;com.colisweb;simplecache-wrapper-zio_2.13
