com.exactpro.th2:grpc-sim-template;com.exactpro.th2;grpc-sim-template
io.quarkiverse.artemis:quarkus-integration-test-artemis-camel-jms-parent;io.quarkiverse.artemis;quarkus-integration-test-artemis-camel-jms-parent
org.ogc-schemas:sps-v_1_0_0;org.ogc-schemas;sps-v_1_0_0
io.quarkiverse.artemis:quarkus-integration-test-artemis-jms-with-default-and-external;io.quarkiverse.artemis;quarkus-integration-test-artemis-jms-with-default-and-external
org.ogc-schemas:sos;org.ogc-schemas;sos
org.ogc-schemas:sos-v_2_0;org.ogc-schemas;sos-v_2_0
io.quarkiverse.artemis:quarkus-integration-test-artemis-camel-jms-with-named;io.quarkiverse.artemis;quarkus-integration-test-artemis-camel-jms-with-named
io.quarkiverse.artemis:quarkus-integration-test-artemis-jms-without-default;io.quarkiverse.artemis;quarkus-integration-test-artemis-jms-without-default
org.ogc-schemas:sos-v_1_0_0;org.ogc-schemas;sos-v_1_0_0
io.quarkiverse.artemis:quarkus-integration-test-artemis-common;io.quarkiverse.artemis;quarkus-integration-test-artemis-common
org.ogc-schemas:sld;org.ogc-schemas;sld
io.quarkiverse.artemis:quarkus-integration-test-artemis-core-with-external;io.quarkiverse.artemis;quarkus-integration-test-artemis-core-with-external
org.ogc-schemas:sld-v_1_1_0;org.ogc-schemas;sld-v_1_1_0
io.quarkiverse.artemis:quarkus-integration-test-artemis-core-without-default;io.quarkiverse.artemis;quarkus-integration-test-artemis-core-without-default
io.quarkiverse.artemis:quarkus-integration-test-artemis-jms-with-external;io.quarkiverse.artemis;quarkus-integration-test-artemis-jms-with-external
org.ogc-schemas:wms-v_1_3_0;org.ogc-schemas;wms-v_1_3_0
io.quarkiverse.artemis:quarkus-integration-test-artemis-jms-with-default-change-url;io.quarkiverse.artemis;quarkus-integration-test-artemis-jms-with-default-change-url
org.ogc-schemas:wfs-v_1_1_0;org.ogc-schemas;wfs-v_1_1_0
io.quarkiverse.artemis:quarkus-integration-test-artemis-camel-jms-with-default;io.quarkiverse.artemis;quarkus-integration-test-artemis-camel-jms-with-default
io.quarkiverse.artemis:quarkus-integration-test-artemis-common-parent;io.quarkiverse.artemis;quarkus-integration-test-artemis-common-parent
io.quarkiverse.artemis:quarkus-integration-test-artemis-core-with-default-and-external;io.quarkiverse.artemis;quarkus-integration-test-artemis-core-with-default-and-external
