com.github.lolgab:mill-scalablytyped_mill0.11.0-M1_2.13;com.github.lolgab;mill-scalablytyped_mill0.11.0-M1_2.13
org.kodein.di:kodein-di-conf-linuxarm32hfp;org.kodein.di;kodein-di-conf-linuxarm32hfp
ru.pavkin:scala-js-momentjs_sjs1_2.13;ru.pavkin;scala-js-momentjs_sjs1_2.13
com.qualizeal:suite-generator;com.qualizeal;suite-generator
com.arangodb:jackson-serde;com.arangodb;jackson-serde
io.github.u004:kreedz-adapter-api;io.github.u004;kreedz-adapter-api
io.github.u004:kreedz-converter-api;io.github.u004;kreedz-converter-api
com.belladati:iot-protocol-sdk;com.belladati;iot-protocol-sdk
io.testerra:qc11-connector;io.testerra;qc11-connector
io.testerra:qc-restclient;io.testerra;qc-restclient
io.testerra:cucumber-test;io.testerra;cucumber-test
de.wayofquality.blended:blended.util.logging_2.13;de.wayofquality.blended;blended.util.logging_2.13
de.wayofquality.blended:blended.util_2.13;de.wayofquality.blended;blended.util_2.13
de.wayofquality.blended:blended.updater.tools_2.13;de.wayofquality.blended;blended.updater.tools_2.13
de.wayofquality.blended:blended.updater.config_2.13;de.wayofquality.blended;blended.updater.config_2.13
de.wayofquality.blended:blended.updater_2.13;de.wayofquality.blended;blended.updater_2.13
de.wayofquality.blended:blended.testsupport.pojosr_2.13;de.wayofquality.blended;blended.testsupport.pojosr_2.13
de.wayofquality.blended:blended.testsupport_2.13;de.wayofquality.blended;blended.testsupport_2.13
de.wayofquality.blended:blended.streams.testsupport_2.13;de.wayofquality.blended;blended.streams.testsupport_2.13
de.wayofquality.blended:blended.streams.dispatcher_2.13;de.wayofquality.blended;blended.streams.dispatcher_2.13
de.wayofquality.blended:blended.streams_2.13;de.wayofquality.blended;blended.streams_2.13
de.wayofquality.blended:blended.security.ssl_2.13;de.wayofquality.blended;blended.security.ssl_2.13
de.wayofquality.blended:blended.security.scep.standalone_2.13;de.wayofquality.blended;blended.security.scep.standalone_2.13
de.wayofquality.blended:blended.security.scep_2.13;de.wayofquality.blended;blended.security.scep_2.13
de.wayofquality.blended:blended.security.login.impl_2.13;de.wayofquality.blended;blended.security.login.impl_2.13
de.wayofquality.blended:blended.security.login.api_2.13;de.wayofquality.blended;blended.security.login.api_2.13
de.wayofquality.blended:blended.security.crypto_2.13;de.wayofquality.blended;blended.security.crypto_2.13
de.wayofquality.blended:blended.security.boot_2.13;de.wayofquality.blended;blended.security.boot_2.13
de.wayofquality.blended:blended.security.akka.http_2.13;de.wayofquality.blended;blended.security.akka.http_2.13
de.wayofquality.blended:blended.security_2.13;de.wayofquality.blended;blended.security_2.13
de.wayofquality.blended:blended.prickle.akka.http_2.13;de.wayofquality.blended;blended.prickle.akka.http_2.13
de.wayofquality.blended:blended.prickle_2.13;de.wayofquality.blended;blended.prickle_2.13
de.wayofquality.blended:blended.mgmt.service.jmx_2.13;de.wayofquality.blended;blended.mgmt.service.jmx_2.13
de.wayofquality.blended:blended.mgmt.base_2.13;de.wayofquality.blended;blended.mgmt.base_2.13
com.smartbear:zephyrscale-junit-integration;com.smartbear;zephyrscale-junit-integration
de.wayofquality.blended:blended.launcher_2.13;de.wayofquality.blended;blended.launcher_2.13
de.wayofquality.blended:blended.jolokia_2.13;de.wayofquality.blended;blended.jolokia_2.13
de.wayofquality.blended:blended.jmx_2.13;de.wayofquality.blended;blended.jmx_2.13
de.wayofquality.blended:blended.jms.utils_2.13;de.wayofquality.blended;blended.jms.utils_2.13
de.wayofquality.blended:blended.jms.bridge_2.13;de.wayofquality.blended;blended.jms.bridge_2.13
de.wayofquality.blended:blended.jetty.boot_2.13;de.wayofquality.blended;blended.jetty.boot_2.13
de.wayofquality.blended:blended.itestsupport_2.13;de.wayofquality.blended;blended.itestsupport_2.13
de.wayofquality.blended:blended.itest.runner_2.13;de.wayofquality.blended;blended.itest.runner_2.13
de.wayofquality.blended:blended.hawtio.login_2.13;de.wayofquality.blended;blended.hawtio.login_2.13
de.wayofquality.blended:blended.features_2.13;de.wayofquality.blended;blended.features_2.13
de.wayofquality.blended:blended.domino_2.13;de.wayofquality.blended;blended.domino_2.13
de.wayofquality.blended:blended.container.context.impl_2.13;de.wayofquality.blended;blended.container.context.impl_2.13
de.wayofquality.blended:blended.container.context.api_2.13;de.wayofquality.blended;blended.container.context.api_2.13
de.wayofquality.blended:blended.aws.s3_2.13;de.wayofquality.blended;blended.aws.s3_2.13
de.wayofquality.blended:blended.akka.logging_2.13;de.wayofquality.blended;blended.akka.logging_2.13
de.wayofquality.blended:blended.akka.http.sample.helloworld_2.13;de.wayofquality.blended;blended.akka.http.sample.helloworld_2.13
