com.alibaba.fastjson2:fastjson2-incubator-vector;com.alibaba.fastjson2;fastjson2-incubator-vector
dev.profunktor:redis4cats-core_2.13;dev.profunktor;redis4cats-core_2.13
dev.profunktor:redis4cats-effects_3;dev.profunktor;redis4cats-effects_3
dev.profunktor:redis4cats-effects_2.13;dev.profunktor;redis4cats-effects_2.13
dev.profunktor:redis4cats-core_2.12;dev.profunktor;redis4cats-core_2.12
dev.profunktor:redis4cats-core_3;dev.profunktor;redis4cats-core_3
dev.profunktor:redis4cats-streams_2.13;dev.profunktor;redis4cats-streams_2.13
dev.profunktor:redis4cats-log4cats_3;dev.profunktor;redis4cats-log4cats_3
dev.profunktor:redis4cats-log4cats_2.12;dev.profunktor;redis4cats-log4cats_2.12
se.swedenconnect.ca:ca-service-base;se.swedenconnect.ca;ca-service-base
se.swedenconnect.ca:cmc;se.swedenconnect.ca;cmc
com.lewisjkl:header-readme_2.13;com.lewisjkl;header-readme_2.13
com.lewisjkl:header-mill-plugin_mill0.11_2.13;com.lewisjkl;header-mill-plugin_mill0.11_2.13
com.lewisjkl:header-core_2.13;com.lewisjkl;header-core_2.13
org.mvnpm:graphiql;org.mvnpm;graphiql
se.swedenconnect.ca:ca-engine;se.swedenconnect.ca;ca-engine
com.softwaremill.quicklens:quicklens_native0.4_3;com.softwaremill.quicklens;quicklens_native0.4_3
com.softwaremill.quicklens:quicklens_native0.4_2.13;com.softwaremill.quicklens;quicklens_native0.4_2.13
com.softwaremill.quicklens:quicklens_native0.4_2.12;com.softwaremill.quicklens;quicklens_native0.4_2.12
se.idsec.utils:print-cert;se.idsec.utils;print-cert
se.swedenconnect.sigval:sigval-xml;se.swedenconnect.sigval;sigval-xml
se.swedenconnect.sigval:sigvalreport;se.swedenconnect.sigval;sigvalreport
se.swedenconnect.sigval:cert-validation;se.swedenconnect.sigval;cert-validation
se.swedenconnect.sigval:cert-extensions;se.swedenconnect.sigval;cert-extensions
se.swedenconnect.sigval:sigval-parent;se.swedenconnect.sigval;sigval-parent
se.swedenconnect.sigval:sigval-commons;se.swedenconnect.sigval;sigval-commons
se.swedenconnect.sigval:sigval-jose;se.swedenconnect.sigval;sigval-jose
se.swedenconnect.sigval:sigval-pdf;se.swedenconnect.sigval;sigval-pdf
se.swedenconnect.sigval:svt-core;se.swedenconnect.sigval;svt-core
org.purejava:keepassxc-proxy-access;org.purejava;keepassxc-proxy-access
org.apache.sling:org.apache.sling.feature;org.apache.sling;org.apache.sling.feature
